Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
PM SHRI KENDRIYA VIDYALAYA NO 1,1600001,PUNJAB,JALANDHAR,AIR FORCE STATION ADAMPUR DOABA JALANDHAR PUNJAB,144103,,1965,24 Aug 2018,PUNAM RANI,,M.SC. B.Ed,,1,11,Senior Secondary Level,,"From :
                                 01/04/2020 
                                 To :
                                 31/03/2025",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600002,PUNJAB,FEROZEPUR,FEROZEPUR CANTT PUNJAB,152001,,1963,,HARI SINGH,,MA BED,,1,27,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600003,PUNJAB,LUDHIANA,AIR FORCE STATION HALWARA PUNJAB,141106,http://kvsrikakulam.ap.ni,1965,01 Apr 1991,NARESH KUMAR,Male,"M.A,Bed",,5,15,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600004,PUNJAB,JALANDHAR,HARDYAL ROAD OPP G E EAST JALANDHAR CANTT PUNJAB,144005,,1963,01 Apr 1991,Mr. Honey Mehta,Male,"M.Sc.,  B.Ed",,8,11,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 2,1600005,PUNJAB,JALANDHAR,OPP DEFENCE CINEMA JALANDHAR CANTT PUNJAB,144005,http://kvsrikakulam.ap.ni,1976,01 Apr 1991,RAVINDER KUMAR,Male,"M. Comm., B. Ed",,4,17,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600006,PUNJAB,PATHANKOT,AIR FORCE PATHANKOT PUNJAB,145001,,1967,01 Apr 1991,NIDHI SOOD,,"M. COM, BED",,9,15,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 2,1600007,PUNJAB,PATHANKOT,ARMY AREA PATHANKOT PUNJAB,145001,,1974,21 May 2018,SANJAY KUMAR,,M.SC. B.ED.,,15,14,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600008,PUNJAB,SANGRUR,AIR FORCE STATION BARNALA SANGRUR DISTT PUNJAB,148101,,1972,,JASDEEP KAUR,,MCOM BED,,3,8,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600009,PUNJAB,AMRITSAR,AMRITSAR CANTT PUNJAB,143001,,1975,,P L DHIMAN,Male,M.A.  B.Ed.,,12,24,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO-1,1600010,PUNJAB,PATIALA,O R S COLONY SANGRUR ROAD PATIALA CANTT PUNJAB,147001,,1975,25 Jan 2009,RANDHIR SINGH,,PHD,,5,10,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600011,PUNJAB,GURDASPUR,TIBRI GURDASPUR CANTT PUNJAB,143530,,1976,01 Apr 1991,DINESH KUMAR,,"M.SC, B.ED",,8,15,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2026",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 1,1600012,PUNJAB,BATHINDA,THIMAYYA MARG BHATINDA CANTT PUNJAB,151004,http://www.kvnhpclok.org,1978,25 Jan 2009,KUMUD AHUJA,Male,"MSc, MEd",,3,23,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600013,PUNJAB,FARIDKOT,FARIDKOT CANTT PUNJAB,151203,,1977,25 Jan 2009,MANJEET SINGH,,"M.SC. , B.ED.",,4,18,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600014,PUNJAB,JALANDHAR,SURANUSSI JALANDHAR PUNJAB,144027,,1979,25 Jan 2009,Dr Palishah,,"MA Hindi, B.Ed, Ph.D",,10,8,Senior Secondary Level,,"From :
                                 01/04/2027 
                                 To :
                                 31/03/2032",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 3,1600015,PUNJAB,PATHANKOT,P O MAMOON PATHANKOT PUNJAB,145001,http://www.kvvidyanagar.o,1980,,PARAMHANS PRASAD YADAV,Male,"M.SC, B.Ed. , M Ed., M Phil",,15,22,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 2,1600016,PUNJAB,JALANDHAR,AIR FORCE STATION ADAMPUR JALANDHAR PUNJAB,144103,,1983,,SUNITA,,M.Sc. B.Ed.,,1,10,Senior Secondary Level,,"From :
                                 01/04/2009 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA NO 2,1600017,PUNJAB,LUDHIANA,AIR FORCE STATION HALWARA PUNJAB,141106,,1983,21 May 2018,JAGADISH RAJBANGSHI,Male,M Sc Maths,,17,20,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 3,1600018,PUNJAB,BATHINDA,AIR FORCE STATION BHAISIANA BHATINDA PUNJAB,151201,KV3BATHINDA.COM,1981,25 Jan 2009,JASPAL SINGH NEGI,Male,POST GRADUATION,,4,14,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA,1600019,PUNJAB,LUDHIANA,BADDOWAL CANTT LUDHIANA DISTT PUNJAB,142021,http://www.kvvidyanagar.o,1984,01 Apr 1991,NARESH KANT,Male,MA.Bed.,,6,13,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO. 3,1600021,PUNJAB,JALANDHAR,JALANDHAR CANTT PUNJAB,144005,http://www.kvrwfyel.g,1985,25 Jan 2009,HARJINDER BHATIA,Female,M. SC.,,1,10,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA NO 2,1600022,PUNJAB,PATIALA,D M W PATIALA PUNJAB,147001,,1986,,SHASHI KANT,,M COM  B ED,,17,27,Senior Secondary Level,,"From :
                                 01/04/2011 
                                 To :
                                 31/03/2016",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA NO 4,1600024,PUNJAB,BATHINDA,CHOUDHARY MARG BHATINDA CANTT PUNJAB,151004,http://www.kvvidyanagar.o,1985,01 Apr 1991,Kulbir Singh,Male,"M.A., B.ed",,5,10,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600025,PUNJAB,GURDASPUR,"NANGAL BHUR DISTT PATHANKOT, PUNJAB",145101,http://www.kvvidyanagar.o,1984,01 Apr 1991,LAKSHMI NEGI,Male,"MA,BED",,8,12,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",kendriya vidyalaya sangathan,
PM SHRI KENDRIYA VIDYALAYA NO 4,1600026,PUNJAB,PATHANKOT,MAMUN CANTT P O BANGAL BADHAM PATHANKOT PUNJAB,145001,,1986,,PARDEEP CHOPRA,,"MSC  CHEMISTRY , B.ED",,5,17,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA,1600027,PUNJAB,SAS NAGAR,MULLANPUR GARIBDAS DISTT SAS NAGAR (MOHALI) PUNJAB,140901,,1985,,RAKESH KUMAR,,"M.SC., B.ED., PGDCA",,7,27,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600028,PUNJAB,FEROZEPUR,"MILITARY STATION, FAZILKA ROAD ABOHAR PUNJAB",152116,http://www.kvnehu.g,1985,01 Apr 1991,KARAMJIT SINGH NAIN,Male,M.SC & B.ED,,01,23,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",kendriya vidyalaya sangathan,
PM SHRI KENDRIYA VIDYALAYA NO 3,1600029,PUNJAB,AMRITSAR,NEW CANTT P.O. NARAYANGARH AMRITSAR PUNJAB,143106,http://www.kvnehu.g,1985,01 Apr 1991,SUBHASH CHAND,Male,MA Bed,,11,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA,1600030,PUNJAB,PATIALA,NABHA CANTT DISTT PATIALA PUNJAB,147201,,1986,,SARJANA SANGHA,,MSC. BED.,,07,17,Senior Secondary Level,,"From :
                                 01/04/2020 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 2,1600031,PUNJAB,FEROZEPUR,FEROZEPUR CANTT PUNJAB,152001,,1987,,LAXMI KANT SHARMA,,"M.A, P.HD",,6,13,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600032,PUNJAB,KAPURTHALA,KAPURTHALA CANTT PUNJAB,144601,,1986,25 Jan 2009,ANIL KUMAR DHIMAN,,"M.Sc. chem, M.A. psychology, M.A Hindi ,B.Ed",,6,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYALAYA SANGATHAN,
